TagName,DateTime,Value,vValue,StartDateTime,,Unit: °C
S01.S01_A_Temperature,6/18/2012 13:49,18.52350922,18.52350922,6/17/2012 13:49,,
S01.S01_A_Temperature,6/19/2012 13:49,19.60246972,19.60246972,6/18/2012 13:49,,
S01.S01_A_Temperature,6/20/2012 13:49,19.71775155,19.71775155,6/19/2012 13:49,,
S01.S01_A_Temperature,6/21/2012 13:49,19.63899321,19.63899321,6/20/2012 13:49,,
S01.S01_A_Temperature,6/22/2012 13:49,19.51495381,19.51495381,6/21/2012 13:49,,
S01.S01_A_Temperature,6/23/2012 13:49,19.51333152,19.51333152,6/22/2012 13:49,,
S01.S01_A_Temperature,6/24/2012 13:49,19.23765233,19.23765233,6/23/2012 13:49,,
S01.S01_A_Temperature,6/25/2012 13:49,18.52266504,18.52266504,6/24/2012 13:49,,
S01.S01_A_Temperature,6/26/2012 13:49,18.39416326,18.39416326,6/25/2012 13:49,,
S01.S01_A_Temperature,6/27/2012 13:49,18.89975426,18.89975426,6/26/2012 13:49,,
S01.S01_A_Temperature,6/28/2012 13:49,19.1965201,19.1965201,6/27/2012 13:49,,
S01.S01_A_Temperature,6/29/2012 13:49,19.13796246,19.13796246,6/28/2012 13:49,,
S01.S01_A_Temperature,6/30/2012 13:49,19.15654831,19.15654831,6/29/2012 13:49,,
S01.S01_A_Temperature,7/1/2012 13:49,19.34663495,19.34663495,6/30/2012 13:49,,
S01.S01_A_Temperature,7/2/2012 13:49,19.14618526,19.14618526,7/1/2012 13:49,,
S01.S01_A_Temperature,7/3/2012 13:49,(null),(null),7/2/2012 13:49,,
S01.S01_A_Temperature,7/4/2012 13:49,(null),(null),7/3/2012 13:49,,
S01.S01_A_Temperature,7/5/2012 13:49,(null),(null),7/4/2012 13:49,,
S01.S01_A_Temperature,7/6/2012 13:49,(null),(null),7/5/2012 13:49,,
S01.S01_A_Temperature,7/7/2012 13:49,20.05609059,20.05609059,7/6/2012 13:49,,
S01.S01_A_Temperature,7/8/2012 13:49,20.09517458,20.09517458,7/7/2012 13:49,,
S01.S01_A_Temperature,7/9/2012 13:49,19.45721386,19.45721386,7/8/2012 13:49,,
S01.S01_A_Temperature,7/10/2012 13:49,19.76449627,19.76449627,7/9/2012 13:49,,
S01.S01_A_Temperature,7/11/2012 13:49,20.40777335,20.40777335,7/10/2012 13:49,,
S01.S01_A_Temperature,7/12/2012 13:49,20.23737637,20.23737637,7/11/2012 13:49,,
S01.S01_A_Temperature,7/13/2012 13:49,20.13077454,20.13077454,7/12/2012 13:49,,
S01.S01_A_Temperature,7/14/2012 13:49,20.13634225,20.13634225,7/13/2012 13:49,,
S01.S01_A_Temperature,7/15/2012 13:49,19.21432621,19.21432621,7/14/2012 13:49,,
S01.S01_A_Temperature,7/16/2012 13:49,20.55519695,20.55519695,7/15/2012 13:49,,
S01.S01_A_Temperature,7/17/2012 13:49,20.60596854,20.60596854,7/16/2012 13:49,,
S01.S01_A_Temperature,7/18/2012 13:49,19.34843463,19.34843463,7/17/2012 13:49,,
S01.S01_A_Temperature,7/19/2012 13:49,19.29894376,19.29894376,7/18/2012 13:49,,
S01.S01_A_Temperature,7/20/2012 13:49,19.56652765,19.56652765,7/19/2012 13:49,,
S01.S01_A_Temperature,7/21/2012 13:49,20.03828555,20.03828555,7/20/2012 13:49,,
S01.S01_A_Temperature,7/22/2012 13:49,20.29439018,20.29439018,7/21/2012 13:49,,
S01.S01_A_Temperature,7/23/2012 13:49,19.78134267,19.78134267,7/22/2012 13:49,,
S01.S01_A_Temperature,7/24/2012 13:49,19.10945438,19.10945438,7/23/2012 13:49,,
S01.S01_A_Temperature,7/25/2012 13:49,19.00022718,19.00022718,7/24/2012 13:49,,
S01.S01_A_Temperature,7/26/2012 13:49,18.94003885,18.94003885,7/25/2012 13:49,,
S01.S01_A_Temperature,7/27/2012 13:49,19.19037844,19.19037844,7/26/2012 13:49,,
S01.S01_A_Temperature,7/28/2012 13:49,19.5907146,19.5907146,7/27/2012 13:49,,
S01.S01_A_Temperature,7/29/2012 13:49,19.64551415,19.64551415,7/28/2012 13:49,,
S01.S01_A_Temperature,7/30/2012 13:49,19.88714553,19.88714553,7/29/2012 13:49,,
S01.S01_A_Temperature,7/31/2012 13:49,20.6258674,20.6258674,7/30/2012 13:49,,
S01.S01_A_Temperature,8/1/2012 13:49,(null),(null),7/31/2012 13:49,,
S01.S01_A_Temperature,8/2/2012 13:50,(null),(null),8/1/2012 13:49,,
S01.S01_A_Temperature,8/3/2012 13:50,19.86228191,19.86228191,8/2/2012 13:50,,
S01.S01_A_Temperature,8/4/2012 13:50,19.51275158,19.51275158,8/3/2012 13:50,,
