TagName,DateTime,Value,vValue,StartDateTime,,Unit: °C
S04.S04_A_Temp,6/18/2012 13:49,21.01728344,21.01728344,6/17/2012 13:49,,
S04.S04_A_Temp,6/19/2012 13:49,20.68507967,20.68507967,6/18/2012 13:49,,
S04.S04_A_Temp,6/20/2012 13:49,21.42927003,21.42927003,6/19/2012 13:49,,
S04.S04_A_Temp,6/21/2012 13:49,21.43693165,21.43693165,6/20/2012 13:49,,
S04.S04_A_Temp,6/22/2012 13:49,21.04147908,21.04147908,6/21/2012 13:49,,
S04.S04_A_Temp,6/23/2012 13:49,21.11084963,21.11084963,6/22/2012 13:49,,
S04.S04_A_Temp,6/24/2012 13:49,21.01450962,21.01450962,6/23/2012 13:49,,
S04.S04_A_Temp,6/25/2012 13:49,20.75760791,20.75760791,6/24/2012 13:49,,
S04.S04_A_Temp,6/26/2012 13:49,20.94718159,20.94718159,6/25/2012 13:49,,
S04.S04_A_Temp,6/27/2012 13:49,21.23144381,21.23144381,6/26/2012 13:49,,
S04.S04_A_Temp,6/28/2012 13:49,21.25705517,21.25705517,6/27/2012 13:49,,
S04.S04_A_Temp,6/29/2012 13:49,21.1830622,21.1830622,6/28/2012 13:49,,
S04.S04_A_Temp,6/30/2012 13:49,21.29535619,21.29535619,6/29/2012 13:49,,
S04.S04_A_Temp,7/1/2012 13:49,21.33747006,21.33747006,6/30/2012 13:49,,
S04.S04_A_Temp,7/2/2012 13:49,21.46765311,21.46765311,7/1/2012 13:49,,
S04.S04_A_Temp,7/3/2012 13:49,(null),(null),7/2/2012 13:49,,
S04.S04_A_Temp,7/4/2012 13:49,(null),(null),7/3/2012 13:49,,
S04.S04_A_Temp,7/5/2012 13:49,(null),(null),7/4/2012 13:49,,
S04.S04_A_Temp,7/6/2012 13:49,(null),(null),7/5/2012 13:49,,
S04.S04_A_Temp,7/7/2012 13:49,21.70245377,21.70245377,7/6/2012 13:49,,
S04.S04_A_Temp,7/8/2012 13:49,21.79399193,21.79399193,7/7/2012 13:49,,
S04.S04_A_Temp,7/9/2012 13:49,21.78664199,21.78664199,7/8/2012 13:49,,
S04.S04_A_Temp,7/10/2012 13:49,21.90093762,21.90093762,7/9/2012 13:49,,
S04.S04_A_Temp,7/11/2012 13:49,22.31497614,22.31497614,7/10/2012 13:49,,
S04.S04_A_Temp,7/12/2012 13:49,22.42876129,22.42876129,7/11/2012 13:49,,
S04.S04_A_Temp,7/13/2012 13:49,22.25088076,22.25088076,7/12/2012 13:49,,
S04.S04_A_Temp,7/14/2012 13:49,21.88909369,21.88909369,7/13/2012 13:49,,
S04.S04_A_Temp,7/15/2012 13:49,22.02047129,22.02047129,7/14/2012 13:49,,
S04.S04_A_Temp,7/16/2012 13:49,22.06160561,22.06160561,7/15/2012 13:49,,
S04.S04_A_Temp,7/17/2012 13:49,21.9469036,21.9469036,7/16/2012 13:49,,
S04.S04_A_Temp,7/18/2012 13:49,21.90010813,21.90010813,7/17/2012 13:49,,
S04.S04_A_Temp,7/19/2012 13:49,22.03027321,22.03027321,7/18/2012 13:49,,
S04.S04_A_Temp,7/20/2012 13:49,21.78516175,21.78516175,7/19/2012 13:49,,
S04.S04_A_Temp,7/21/2012 13:49,22.94030632,22.94030632,7/20/2012 13:49,,
S04.S04_A_Temp,7/22/2012 13:49,23.01596784,23.01596784,7/21/2012 13:49,,
S04.S04_A_Temp,7/23/2012 13:49,22.81501164,22.81501164,7/22/2012 13:49,,
S04.S04_A_Temp,7/24/2012 13:49,22.40589918,22.40589918,7/23/2012 13:49,,
S04.S04_A_Temp,7/25/2012 13:49,22.39034666,22.39034666,7/24/2012 13:49,,
S04.S04_A_Temp,7/26/2012 13:49,22.30833698,22.30833698,7/25/2012 13:49,,
S04.S04_A_Temp,7/27/2012 13:49,22.45998898,22.45998898,7/26/2012 13:49,,
S04.S04_A_Temp,7/28/2012 13:49,22.12928982,22.12928982,7/27/2012 13:49,,
S04.S04_A_Temp,7/29/2012 13:49,22.38256683,22.38256683,7/28/2012 13:49,,
S04.S04_A_Temp,7/30/2012 13:49,22.23705364,22.23705364,7/29/2012 13:49,,
S04.S04_A_Temp,7/31/2012 13:49,22.50370105,22.50370105,7/30/2012 13:49,,
S04.S04_A_Temp,8/1/2012 13:49,(null),(null),7/31/2012 13:49,,
S04.S04_A_Temp,8/2/2012 13:50,(null),(null),8/1/2012 13:49,,
S04.S04_A_Temp,8/3/2012 13:50,22.15438578,22.15438578,8/2/2012 13:50,,
S04.S04_A_Temp,8/4/2012 13:50,22.0720208,22.0720208,8/3/2012 13:50,,
S04.S04_A_Temp,8/5/2012 13:50,22.31936306,22.31936306,8/4/2012 13:50,,
S04.S04_A_Temp,8/6/2012 13:50,22.15431052,22.15431052,8/5/2012 13:50,,
S04.S04_A_Temp,8/7/2012 13:50,22.20867842,22.20867842,8/6/2012 13:50,,
S04.S04_A_Temp,8/8/2012 13:50,22.17537693,22.17537693,8/7/2012 13:50,,
S04.S04_A_Temp,8/9/2012 13:50,22.50778514,22.50778514,8/8/2012 13:50,,
S04.S04_A_Temp,8/10/2012 13:50,22.26789331,22.26789331,8/9/2012 13:50,,
S04.S04_A_Temp,8/11/2012 13:50,22.10634662,22.10634662,8/10/2012 13:50,,
S04.S04_A_Temp,8/12/2012 13:50,21.83091111,21.83091111,8/11/2012 13:50,,
S04.S04_A_Temp,8/13/2012 13:50,19.73716225,19.73716225,8/12/2012 13:50,,
S04.S04_A_Temp,8/14/2012 13:50,21.53230386,21.53230386,8/13/2012 13:50,,
S04.S04_A_Temp,8/15/2012 13:50,22.02344845,22.02344845,8/14/2012 13:50,,
S04.S04_A_Temp,8/16/2012 13:50,21.9559664,21.9559664,8/15/2012 13:50,,
S04.S04_A_Temp,8/17/2012 13:50,22.09991928,22.09991928,8/16/2012 13:50,,
S04.S04_A_Temp,8/18/2012 13:50,22.20093749,22.20093749,8/17/2012 13:50,,
S04.S04_A_Temp,8/19/2012 13:50,21.82785662,21.82785662,8/18/2012 13:50,,
S04.S04_A_Temp,8/20/2012 13:50,21.7988646,21.7988646,8/19/2012 13:50,,
S04.S04_A_Temp,8/21/2012 13:50,21.18790878,21.18790878,8/20/2012 13:50,,
S04.S04_A_Temp,8/22/2012 13:50,21.33603518,21.33603518,8/21/2012 13:50,,
S04.S04_A_Temp,8/23/2012 13:50,21.47283524,21.47283524,8/22/2012 13:50,,
S04.S04_A_Temp,8/24/2012 13:50,21.45013989,21.45013989,8/23/2012 13:50,,
S04.S04_A_Temp,8/25/2012 13:50,21.65113988,21.65113988,8/24/2012 13:50,,
S04.S04_A_Temp,8/26/2012 13:50,21.52333339,21.52333339,8/25/2012 13:50,,
S04.S04_A_Temp,8/27/2012 13:50,21.40272844,21.40272844,8/26/2012 13:50,,
S04.S04_A_Temp,8/28/2012 13:50,21.93999408,21.93999408,8/27/2012 13:50,,
S04.S04_A_Temp,8/29/2012 13:50,22.16434102,22.16434102,8/28/2012 13:50,,
S04.S04_A_Temp,8/30/2012 13:50,21.74871271,21.74871271,8/29/2012 13:50,,
S04.S04_A_Temp,8/31/2012 13:50,21.05860737,21.05860737,8/30/2012 13:50,,
S04.S04_A_Temp,9/1/2012 13:50,20.95313778,20.95313778,8/31/2012 13:50,,
S04.S04_A_Temp,9/2/2012 13:50,20.88051264,20.88051264,9/1/2012 13:50,,
S04.S04_A_Temp,9/3/2012 13:50,21.3808036,21.3808036,9/2/2012 13:50,,
S04.S04_A_Temp,9/4/2012 13:50,21.56136136,21.56136136,9/3/2012 13:50,,
S04.S04_A_Temp,9/5/2012 13:50,21.03434299,21.03434299,9/4/2012 13:50,,
S04.S04_A_Temp,9/6/2012 13:50,20.60162026,20.60162026,9/5/2012 13:50,,
S04.S04_A_Temp,9/7/2012 13:50,20.58506844,20.58506844,9/6/2012 13:50,,
S04.S04_A_Temp,9/8/2012 13:50,21.66296019,21.66296019,9/7/2012 13:50,,
S04.S04_A_Temp,9/9/2012 13:50,(null),(null),9/8/2012 13:50,,
S04.S04_A_Temp,9/10/2012 13:50,20.90799603,20.90799603,9/9/2012 13:50,,
